ID,Category,Subcategory,Title,Template,Description,Variables,Platform_Optimized,Complexity
PHOT_031,Photography,General,Architectural Photography Variation 3,"architectural photography of {subject}, {style}, {lighting}, {quality}",Professional architectural photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_032,Photography,General,Architectural Photography Variation 4,"architectural photography of {subject}, {style}, {lighting}, {quality}",Professional architectural photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_033,Photography,General,Product Photography Variation 1,"product photography of {subject}, {style}, {lighting}, {quality}",Professional product photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_034,Photography,General,Product Photography Variation 2,"product photography of {subject}, {style}, {lighting}, {quality}",Professional product photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_035,Photography,General,Product Photography Variation 3,"product photography of {subject}, {style}, {lighting}, {quality}",Professional product photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_036,Photography,General,Product Photography Variation 4,"product photography of {subject}, {style}, {lighting}, {quality}",Professional product photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_037,Photography,General,Food Photography Variation 1,"food photography of {subject}, {style}, {lighting}, {quality}",Professional food photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_038,Photography,General,Food Photography Variation 2,"food photography of {subject}, {style}, {lighting}, {quality}",Professional food photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_039,Photography,General,Food Photography Variation 3,"food photography of {subject}, {style}, {lighting}, {quality}",Professional food photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_040,Photography,General,Food Photography Variation 4,"food photography of {subject}, {style}, {lighting}, {quality}",Professional food photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_041,Photography,General,Wedding Photography Variation 1,"wedding photography of {subject}, {style}, {lighting}, {quality}",Professional wedding photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_042,Photography,General,Wedding Photography Variation 2,"wedding photography of {subject}, {style}, {lighting}, {quality}",Professional wedding photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_043,Photography,General,Wedding Photography Variation 3,"wedding photography of {subject}, {style}, {lighting}, {quality}",Professional wedding photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_044,Photography,General,Wedding Photography Variation 4,"wedding photography of {subject}, {style}, {lighting}, {quality}",Professional wedding photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_045,Photography,Portrait,Family Portrait Variation 1,"family portrait of {subject}, {style}, {lighting}, {quality}",Professional family portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_046,Photography,Portrait,Family Portrait Variation 2,"family portrait of {subject}, {style}, {lighting}, {quality}",Professional family portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_047,Photography,Portrait,Family Portrait Variation 3,"family portrait of {subject}, {style}, {lighting}, {quality}",Professional family portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_048,Photography,Portrait,Family Portrait Variation 4,"family portrait of {subject}, {style}, {lighting}, {quality}",Professional family portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_049,Photography,General,Headshot Photography Variation 1,"headshot photography of {subject}, {style}, {lighting}, {quality}",Professional headshot photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_050,Photography,General,Headshot Photography Variation 2,"headshot photography of {subject}, {style}, {lighting}, {quality}",Professional headshot photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_051,Photography,General,Headshot Photography Variation 3,"headshot photography of {subject}, {style}, {lighting}, {quality}",Professional headshot photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_052,Photography,General,Headshot Photography Variation 4,"headshot photography of {subject}, {style}, {lighting}, {quality}",Professional headshot photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_053,Photography,General,Fine Art Nude Variation 1,"fine art nude of {subject}, {style}, {lighting}, {quality}",Professional fine art nude template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_054,Photography,General,Fine Art Nude Variation 2,"fine art nude of {subject}, {style}, {lighting}, {quality}",Professional fine art nude template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_055,Photography,General,Fine Art Nude Variation 3,"fine art nude of {subject}, {style}, {lighting}, {quality}",Professional fine art nude template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_056,Photography,General,Fine Art Nude Variation 4,"fine art nude of {subject}, {style}, {lighting}, {quality}",Professional fine art nude template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_057,Photography,Portrait,Conceptual Portrait Variation 1,"conceptual portrait of {subject}, {style}, {lighting}, {quality}",Professional conceptual portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_058,Photography,Portrait,Conceptual Portrait Variation 2,"conceptual portrait of {subject}, {style}, {lighting}, {quality}",Professional conceptual portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_059,Photography,Portrait,Conceptual Portrait Variation 3,"conceptual portrait of {subject}, {style}, {lighting}, {quality}",Professional conceptual portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_060,Photography,Portrait,Conceptual Portrait Variation 4,"conceptual portrait of {subject}, {style}, {lighting}, {quality}",Professional conceptual portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_061,Photography,General,Documentary Photography Variation 1,"documentary photography of {subject}, {style}, {lighting}, {quality}",Professional documentary photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_062,Photography,General,Documentary Photography Variation 2,"documentary photography of {subject}, {style}, {lighting}, {quality}",Professional documentary photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_063,Photography,General,Documentary Photography Variation 3,"documentary photography of {subject}, {style}, {lighting}, {quality}",Professional documentary photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_064,Photography,General,Documentary Photography Variation 4,"documentary photography of {subject}, {style}, {lighting}, {quality}",Professional documentary photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_065,Photography,General,Travel Photography Variation 1,"travel photography of {subject}, {style}, {lighting}, {quality}",Professional travel photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_066,Photography,General,Travel Photography Variation 2,"travel photography of {subject}, {style}, {lighting}, {quality}",Professional travel photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_067,Photography,General,Travel Photography Variation 3,"travel photography of {subject}, {style}, {lighting}, {quality}",Professional travel photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_068,Photography,General,Travel Photography Variation 4,"travel photography of {subject}, {style}, {lighting}, {quality}",Professional travel photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_069,Photography,General,Urban Cityscape Variation 1,"urban cityscape of {subject}, {style}, {lighting}, {quality}",Professional urban cityscape template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_070,Photography,General,Urban Cityscape Variation 2,"urban cityscape of {subject}, {style}, {lighting}, {quality}",Professional urban cityscape template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_071,Photography,General,Urban Cityscape Variation 3,"urban cityscape of {subject}, {style}, {lighting}, {quality}",Professional urban cityscape template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_072,Photography,General,Urban Cityscape Variation 4,"urban cityscape of {subject}, {style}, {lighting}, {quality}",Professional urban cityscape template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_073,Photography,Landscape,Nature Landscape Variation 1,"nature landscape of {subject}, {style}, {lighting}, {quality}",Professional nature landscape template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_074,Photography,Landscape,Nature Landscape Variation 2,"nature landscape of {subject}, {style}, {lighting}, {quality}",Professional nature landscape template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_075,Photography,Landscape,Nature Landscape Variation 3,"nature landscape of {subject}, {style}, {lighting}, {quality}",Professional nature landscape template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_076,Photography,Landscape,Nature Landscape Variation 4,"nature landscape of {subject}, {style}, {lighting}, {quality}",Professional nature landscape template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_077,Photography,General,Seascape Photography Variation 1,"seascape photography of {subject}, {style}, {lighting}, {quality}",Professional seascape photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_078,Photography,General,Seascape Photography Variation 2,"seascape photography of {subject}, {style}, {lighting}, {quality}",Professional seascape photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_079,Photography,General,Seascape Photography Variation 3,"seascape photography of {subject}, {style}, {lighting}, {quality}",Professional seascape photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_080,Photography,General,Seascape Photography Variation 4,"seascape photography of {subject}, {style}, {lighting}, {quality}",Professional seascape photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_081,Photography,General,Abstract Photography Variation 1,"abstract photography of {subject}, {style}, {lighting}, {quality}",Professional abstract photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_082,Photography,General,Abstract Photography Variation 2,"abstract photography of {subject}, {style}, {lighting}, {quality}",Professional abstract photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_083,Photography,General,Abstract Photography Variation 3,"abstract photography of {subject}, {style}, {lighting}, {quality}",Professional abstract photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_084,Photography,General,Abstract Photography Variation 4,"abstract photography of {subject}, {style}, {lighting}, {quality}",Professional abstract photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_085,Photography,Portrait,Black And White Portrait Variation 1,"black and white portrait of {subject}, {style}, {lighting}, {quality}",Professional black and white portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_086,Photography,Portrait,Black And White Portrait Variation 2,"black and white portrait of {subject}, {style}, {lighting}, {quality}",Professional black and white portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_087,Photography,Portrait,Black And White Portrait Variation 3,"black and white portrait of {subject}, {style}, {lighting}, {quality}",Professional black and white portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_088,Photography,Portrait,Black And White Portrait Variation 4,"black and white portrait of {subject}, {style}, {lighting}, {quality}",Professional black and white portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_089,Photography,General,Vintage Style Photo Variation 1,"vintage style photo of {subject}, {style}, {lighting}, {quality}",Professional vintage style photo template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_090,Photography,General,Vintage Style Photo Variation 2,"vintage style photo of {subject}, {style}, {lighting}, {quality}",Professional vintage style photo template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_091,Photography,General,Vintage Style Photo Variation 3,"vintage style photo of {subject}, {style}, {lighting}, {quality}",Professional vintage style photo template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_092,Photography,General,Vintage Style Photo Variation 4,"vintage style photo of {subject}, {style}, {lighting}, {quality}",Professional vintage style photo template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_093,Photography,General,Retro Photography Variation 1,"retro photography of {subject}, {style}, {lighting}, {quality}",Professional retro photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_094,Photography,General,Retro Photography Variation 2,"retro photography of {subject}, {style}, {lighting}, {quality}",Professional retro photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_095,Photography,General,Retro Photography Variation 3,"retro photography of {subject}, {style}, {lighting}, {quality}",Professional retro photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_096,Photography,General,Retro Photography Variation 4,"retro photography of {subject}, {style}, {lighting}, {quality}",Professional retro photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_097,Photography,General,Film Photography Variation 1,"film photography of {subject}, {style}, {lighting}, {quality}",Professional film photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_098,Photography,General,Film Photography Variation 2,"film photography of {subject}, {style}, {lighting}, {quality}",Professional film photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_099,Photography,General,Film Photography Variation 3,"film photography of {subject}, {style}, {lighting}, {quality}",Professional film photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_100,Photography,General,Film Photography Variation 4,"film photography of {subject}, {style}, {lighting}, {quality}",Professional film photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
DIGI_101,Digital Art,Concept Art,Concept Art Character Design Variation 1,"concept art character design, {style}, {mood}, {details}, {quality}",Professional concept art character design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_102,Digital Art,Concept Art,Concept Art Character Design Variation 2,"concept art character design, {style}, {mood}, {details}, {quality}",Professional concept art character design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_103,Digital Art,Concept Art,Concept Art Character Design Variation 3,"concept art character design, {style}, {mood}, {details}, {quality}",Professional concept art character design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_104,Digital Art,Concept Art,Concept Art Character Design Variation 4,"concept art character design, {style}, {mood}, {details}, {quality}",Professional concept art character design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_105,Digital Art,Environment,Fantasy Landscape Matte Painting Variation 1,"fantasy landscape matte painting, {style}, {mood}, {details}, {quality}",Professional fantasy landscape matte painting template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_106,Digital Art,Environment,Fantasy Landscape Matte Painting Variation 2,"fantasy landscape matte painting, {style}, {mood}, {details}, {quality}",Professional fantasy landscape matte painting template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_107,Digital Art,Environment,Fantasy Landscape Matte Painting Variation 3,"fantasy landscape matte painting, {style}, {mood}, {details}, {quality}",Professional fantasy landscape matte painting template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_108,Digital Art,Environment,Fantasy Landscape Matte Painting Variation 4,"fantasy landscape matte painting, {style}, {mood}, {details}, {quality}",Professional fantasy landscape matte painting template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_109,Digital Art,Concept Art,Sci-Fi Environment Concept Variation 1,"sci-fi environment concept, {style}, {mood}, {details}, {quality}",Professional sci-fi environment concept template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_110,Digital Art,Concept Art,Sci-Fi Environment Concept Variation 2,"sci-fi environment concept, {style}, {mood}, {details}, {quality}",Professional sci-fi environment concept template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_111,Digital Art,Concept Art,Sci-Fi Environment Concept Variation 3,"sci-fi environment concept, {style}, {mood}, {details}, {quality}",Professional sci-fi environment concept template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_112,Digital Art,Concept Art,Sci-Fi Environment Concept Variation 4,"sci-fi environment concept, {style}, {mood}, {details}, {quality}",Professional sci-fi environment concept template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_113,Digital Art,Character Design,Character Design Sheet Variation 1,"character design sheet, {style}, {mood}, {details}, {quality}",Professional character design sheet template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_114,Digital Art,Character Design,Character Design Sheet Variation 2,"character design sheet, {style}, {mood}, {details}, {quality}",Professional character design sheet template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_115,Digital Art,Character Design,Character Design Sheet Variation 3,"character design sheet, {style}, {mood}, {details}, {quality}",Professional character design sheet template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_116,Digital Art,Character Design,Character Design Sheet Variation 4,"character design sheet, {style}, {mood}, {details}, {quality}",Professional character design sheet template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_117,Digital Art,Concept Art,Vehicle Concept Art Variation 1,"vehicle concept art, {style}, {mood}, {details}, {quality}",Professional vehicle concept art template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_118,Digital Art,Concept Art,Vehicle Concept Art Variation 2,"vehicle concept art, {style}, {mood}, {details}, {quality}",Professional vehicle concept art template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_119,Digital Art,Concept Art,Vehicle Concept Art Variation 3,"vehicle concept art, {style}, {mood}, {details}, {quality}",Professional vehicle concept art template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_120,Digital Art,Concept Art,Vehicle Concept Art Variation 4,"vehicle concept art, {style}, {mood}, {details}, {quality}",Professional vehicle concept art template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_121,Digital Art,Environment,Creature Design Variation 1,"creature design, {style}, {mood}, {details}, {quality}",Professional creature design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_122,Digital Art,Environment,Creature Design Variation 2,"creature design, {style}, {mood}, {details}, {quality}",Professional creature design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_123,Digital Art,Environment,Creature Design Variation 3,"creature design, {style}, {mood}, {details}, {quality}",Professional creature design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_124,Digital Art,Environment,Creature Design Variation 4,"creature design, {style}, {mood}, {details}, {quality}",Professional creature design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_125,Digital Art,Environment,Weapon Design Variation 1,"weapon design, {style}, {mood}, {details}, {quality}",Professional weapon design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_126,Digital Art,Environment,Weapon Design Variation 2,"weapon design, {style}, {mood}, {details}, {quality}",Professional weapon design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_127,Digital Art,Environment,Weapon Design Variation 3,"weapon design, {style}, {mood}, {details}, {quality}",Professional weapon design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_128,Digital Art,Environment,Weapon Design Variation 4,"weapon design, {style}, {mood}, {details}, {quality}",Professional weapon design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_129,Digital Art,Concept Art,Architectural Concept Variation 1,"architectural concept, {style}, {mood}, {details}, {quality}",Professional architectural concept template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_130,Digital Art,Concept Art,Architectural Concept Variation 2,"architectural concept, {style}, {mood}, {details}, {quality}",Professional architectural concept template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_131,Digital Art,Concept Art,Architectural Concept Variation 3,"architectural concept, {style}, {mood}, {details}, {quality}",Professional architectural concept template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_132,Digital Art,Concept Art,Architectural Concept Variation 4,"architectural concept, {style}, {mood}, {details}, {quality}",Professional architectural concept template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_133,Digital Art,Environment,Prop Design Variation 1,"prop design, {style}, {mood}, {details}, {quality}",Professional prop design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_134,Digital Art,Environment,Prop Design Variation 2,"prop design, {style}, {mood}, {details}, {quality}",Professional prop design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_135,Digital Art,Environment,Prop Design Variation 3,"prop design, {style}, {mood}, {details}, {quality}",Professional prop design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_136,Digital Art,Environment,Prop Design Variation 4,"prop design, {style}, {mood}, {details}, {quality}",Professional prop design template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_137,Digital Art,Concept Art,Environment Concept Variation 1,"environment concept, {style}, {mood}, {details}, {quality}",Professional environment concept template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_138,Digital Art,Concept Art,Environment Concept Variation 2,"environment concept, {style}, {mood}, {details}, {quality}",Professional environment concept template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_139,Digital Art,Concept Art,Environment Concept Variation 3,"environment concept, {style}, {mood}, {details}, {quality}",Professional environment concept template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_140,Digital Art,Concept Art,Environment Concept Variation 4,"environment concept, {style}, {mood}, {details}, {quality}",Professional environment concept template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_141,Digital Art,Environment,Digital Illustration Variation 1,"digital illustration, {style}, {mood}, {details}, {quality}",Professional digital illustration template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_142,Digital Art,Environment,Digital Illustration Variation 2,"digital illustration, {style}, {mood}, {details}, {quality}",Professional digital illustration template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_143,Digital Art,Environment,Digital Illustration Variation 3,"digital illustration, {style}, {mood}, {details}, {quality}",Professional digital illustration template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_144,Digital Art,Environment,Digital Illustration Variation 4,"digital illustration, {style}, {mood}, {details}, {quality}",Professional digital illustration template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_145,Digital Art,Character Design,Fantasy Character Portrait Variation 1,"fantasy character portrait, {style}, {mood}, {details}, {quality}",Professional fantasy character portrait template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_146,Digital Art,Character Design,Fantasy Character Portrait Variation 2,"fantasy character portrait, {style}, {mood}, {details}, {quality}",Professional fantasy character portrait template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
DIGI_147,Digital Art,Character Design,Fantasy Character Portrait Variation 3,"fantasy character portrait, {style}, {mood}, {details}, {quality}",Professional fantasy character portrait template,"style, mood, details, quality modifiers","Midjourney, Stable Diffusion",High
