Category,Subcategory,Word,Usage_Context,Platform_Optimized
subjects,people_professions,historian,Subject/Main focus of image,All platforms
subjects,people_professions,archaeologist,Subject/Main focus of image,All platforms
subjects,people_professions,anthropologist,Subject/Main focus of image,All platforms
subjects,people_professions,philosopher,Subject/Main focus of image,All platforms
subjects,people_professions,theologian,Subject/Main focus of image,All platforms
subjects,people_professions,monk,Subject/Main focus of image,All platforms
subjects,people_professions,priest,Subject/Main focus of image,All platforms
subjects,people_professions,shaman,Subject/Main focus of image,All platforms
subjects,people_professions,mystic,Subject/Main focus of image,All platforms
subjects,people_professions,soldier,Subject/Main focus of image,All platforms
subjects,people_professions,officer,Subject/Main focus of image,All platforms
subjects,people_professions,general,Subject/Main focus of image,All platforms
subjects,people_professions,commander,Subject/Main focus of image,All platforms
subjects,people_professions,scout,Subject/Main focus of image,All platforms
subjects,people_professions,guard,Subject/Main focus of image,All platforms
subjects,people_professions,knight,Subject/Main focus of image,All platforms
subjects,people_professions,merchant,Subject/Main focus of image,All platforms
subjects,people_professions,trader,Subject/Main focus of image,All platforms
subjects,people_professions,shopkeeper,Subject/Main focus of image,All platforms
subjects,people_professions,vendor,Subject/Main focus of image,All platforms
subjects,people_professions,salesperson,Subject/Main focus of image,All platforms
subjects,people_professions,clerk,Subject/Main focus of image,All platforms
subjects,people_professions,banker,Subject/Main focus of image,All platforms
subjects,people_professions,accountant,Subject/Main focus of image,All platforms
subjects,people_professions,auditor,Subject/Main focus of image,All platforms
subjects,people_professions,economist,Subject/Main focus of image,All platforms
subjects,people_professions,financier,Subject/Main focus of image,All platforms
subjects,people_professions,investor,Subject/Main focus of image,All platforms
subjects,people_professions,firefighter,Subject/Main focus of image,All platforms
subjects,people_professions,paramedic,Subject/Main focus of image,All platforms
subjects,people_professions,police officer,Subject/Main focus of image,All platforms
subjects,people_professions,detective,Subject/Main focus of image,All platforms
subjects,people_professions,security guard,Subject/Main focus of image,All platforms
subjects,people_professions,social worker,Subject/Main focus of image,All platforms
subjects,people_professions,counselor,Subject/Main focus of image,All platforms
subjects,people_professions,therapist,Subject/Main focus of image,All platforms
subjects,people_professions,coach,Subject/Main focus of image,All platforms
subjects,people_professions,trainer,Subject/Main focus of image,All platforms
subjects,people_professions,referee,Subject/Main focus of image,All platforms
subjects,fantasy_beings,elf,Subject/Main focus of image,All platforms
subjects,fantasy_beings,dwarf,Subject/Main focus of image,All platforms
subjects,fantasy_beings,halfling,Subject/Main focus of image,All platforms
subjects,fantasy_beings,gnome,Subject/Main focus of image,All platforms
subjects,fantasy_beings,orc,Subject/Main focus of image,All platforms
subjects,fantasy_beings,goblin,Subject/Main focus of image,All platforms
subjects,fantasy_beings,troll,Subject/Main focus of image,All platforms
subjects,fantasy_beings,giant,Subject/Main focus of image,All platforms
subjects,fantasy_beings,dragon,Subject/Main focus of image,All platforms
subjects,fantasy_beings,phoenix,Subject/Main focus of image,All platforms
subjects,fantasy_beings,unicorn,Subject/Main focus of image,All platforms
subjects,fantasy_beings,pegasus,Subject/Main focus of image,All platforms
subjects,fantasy_beings,griffin,Subject/Main focus of image,All platforms
subjects,fantasy_beings,hippogriff,Subject/Main focus of image,All platforms
subjects,fantasy_beings,centaur,Subject/Main focus of image,All platforms
subjects,fantasy_beings,satyr,Subject/Main focus of image,All platforms
subjects,fantasy_beings,faun,Subject/Main focus of image,All platforms
subjects,fantasy_beings,nymph,Subject/Main focus of image,All platforms
subjects,fantasy_beings,dryad,Subject/Main focus of image,All platforms
subjects,fantasy_beings,naiad,Subject/Main focus of image,All platforms
subjects,fantasy_beings,siren,Subject/Main focus of image,All platforms
subjects,fantasy_beings,mermaid,Subject/Main focus of image,All platforms
subjects,fantasy_beings,angel,Subject/Main focus of image,All platforms
subjects,fantasy_beings,demon,Subject/Main focus of image,All platforms
subjects,fantasy_beings,devil,Subject/Main focus of image,All platforms
subjects,fantasy_beings,imp,Subject/Main focus of image,All platforms
subjects,fantasy_beings,succubus,Subject/Main focus of image,All platforms
subjects,fantasy_beings,incubus,Subject/Main focus of image,All platforms
subjects,fantasy_beings,vampire,Subject/Main focus of image,All platforms
subjects,fantasy_beings,werewolf,Subject/Main focus of image,All platforms
subjects,fantasy_beings,zombie,Subject/Main focus of image,All platforms
subjects,fantasy_beings,skeleton,Subject/Main focus of image,All platforms
subjects,fantasy_beings,ghost,Subject/Main focus of image,All platforms
subjects,fantasy_beings,spirit,Subject/Main focus of image,All platforms
subjects,fantasy_beings,wraith,Subject/Main focus of image,All platforms
subjects,fantasy_beings,banshee,Subject/Main focus of image,All platforms
subjects,fantasy_beings,lich,Subject/Main focus of image,All platforms
subjects,fantasy_beings,wizard,Subject/Main focus of image,All platforms
subjects,fantasy_beings,witch,Subject/Main focus of image,All platforms
subjects,fantasy_beings,sorcerer,Subject/Main focus of image,All platforms
subjects,fantasy_beings,warlock,Subject/Main focus of image,All platforms
subjects,fantasy_beings,mage,Subject/Main focus of image,All platforms
subjects,fantasy_beings,enchanter,Subject/Main focus of image,All platforms
subjects,fantasy_beings,necromancer,Subject/Main focus of image,All platforms
subjects,fantasy_beings,druid,Subject/Main focus of image,All platforms
subjects,fantasy_beings,shaman,Subject/Main focus of image,All platforms
subjects,fantasy_beings,cleric,Subject/Main focus of image,All platforms
subjects,fantasy_beings,paladin,Subject/Main focus of image,All platforms
subjects,fantasy_beings,templar,Subject/Main focus of image,All platforms
subjects,fantasy_beings,crusader,Subject/Main focus of image,All platforms
subjects,fantasy_beings,monk,Subject/Main focus of image,All platforms
subjects,fantasy_beings,ranger,Subject/Main focus of image,All platforms
subjects,fantasy_beings,hunter,Subject/Main focus of image,All platforms
subjects,fantasy_beings,tracker,Subject/Main focus of image,All platforms
subjects,fantasy_beings,scout,Subject/Main focus of image,All platforms
subjects,fantasy_beings,assassin,Subject/Main focus of image,All platforms
subjects,fantasy_beings,rogue,Subject/Main focus of image,All platforms
subjects,fantasy_beings,thief,Subject/Main focus of image,All platforms
subjects,fantasy_beings,warrior,Subject/Main focus of image,All platforms
subjects,fantasy_beings,knight,Subject/Main focus of image,All platforms
subjects,fantasy_beings,barbarian,Subject/Main focus of image,All platforms
subjects,fantasy_beings,berserker,Subject/Main focus of image,All platforms
subjects,fantasy_beings,gladiator,Subject/Main focus of image,All platforms
subjects,fantasy_beings,champion,Subject/Main focus of image,All platforms
subjects,fantasy_beings,bard,Subject/Main focus of image,All platforms
subjects,fantasy_beings,minstrel,Subject/Main focus of image,All platforms
subjects,fantasy_beings,storyteller,Subject/Main focus of image,All platforms
subjects,fantasy_beings,jester,Subject/Main focus of image,All platforms
subjects,fantasy_beings,fool,Subject/Main focus of image,All platforms
subjects,fantasy_beings,entertainer,Subject/Main focus of image,All platforms
subjects,fantasy_beings,alchemist,Subject/Main focus of image,All platforms
subjects,fantasy_beings,artificer,Subject/Main focus of image,All platforms
subjects,fantasy_beings,inventor,Subject/Main focus of image,All platforms
subjects,fantasy_beings,tinker,Subject/Main focus of image,All platforms
subjects,fantasy_beings,blacksmith,Subject/Main focus of image,All platforms
subjects,fantasy_beings,weaponsmith,Subject/Main focus of image,All platforms
subjects,fantasy_beings,king,Subject/Main focus of image,All platforms
subjects,fantasy_beings,queen,Subject/Main focus of image,All platforms
subjects,fantasy_beings,prince,Subject/Main focus of image,All platforms
subjects,fantasy_beings,princess,Subject/Main focus of image,All platforms
subjects,fantasy_beings,lord,Subject/Main focus of image,All platforms
subjects,fantasy_beings,lady,Subject/Main focus of image,All platforms
subjects,fantasy_beings,noble,Subject/Main focus of image,All platforms
subjects,fantasy_beings,duke,Subject/Main focus of image,All platforms
subjects,fantasy_beings,baron,Subject/Main focus of image,All platforms
subjects,fantasy_beings,count,Subject/Main focus of image,All platforms
subjects,fantasy_beings,earl,Subject/Main focus of image,All platforms
subjects,fantasy_beings,marquis,Subject/Main focus of image,All platforms
subjects,fantasy_beings,emperor,Subject/Main focus of image,All platforms
subjects,fantasy_beings,empress,Subject/Main focus of image,All platforms
subjects,fantasy_beings,pharaoh,Subject/Main focus of image,All platforms
subjects,fantasy_beings,pirate,Subject/Main focus of image,All platforms
subjects,fantasy_beings,corsair,Subject/Main focus of image,All platforms
subjects,fantasy_beings,buccaneer,Subject/Main focus of image,All platforms
subjects,fantasy_beings,privateer,Subject/Main focus of image,All platforms
subjects,fantasy_beings,sailor,Subject/Main focus of image,All platforms
subjects,fantasy_beings,mariner,Subject/Main focus of image,All platforms
subjects,fantasy_beings,nomad,Subject/Main focus of image,All platforms
subjects,fantasy_beings,wanderer,Subject/Main focus of image,All platforms
subjects,fantasy_beings,traveler,Subject/Main focus of image,All platforms
subjects,fantasy_beings,explorer,Subject/Main focus of image,All platforms
subjects,fantasy_beings,adventurer,Subject/Main focus of image,All platforms
subjects,fantasy_beings,mercenary,Subject/Main focus of image,All platforms
subjects,fantasy_beings,sphinx,Subject/Main focus of image,All platforms
subjects,fantasy_beings,manticore,Subject/Main focus of image,All platforms
subjects,fantasy_beings,chimera,Subject/Main focus of image,All platforms
subjects,fantasy_beings,hydra,Subject/Main focus of image,All platforms
subjects,fantasy_beings,cerberus,Subject/Main focus of image,All platforms
subjects,fantasy_beings,basilisk,Subject/Main focus of image,All platforms
subjects,fantasy_beings,kraken,Subject/Main focus of image,All platforms
subjects,fantasy_beings,leviathan,Subject/Main focus of image,All platforms
subjects,fantasy_beings,behemoth,Subject/Main focus of image,All platforms
subjects,fantasy_beings,fenrir,Subject/Main focus of image,All platforms
subjects,fantasy_beings,sleipnir,Subject/Main focus of image,All platforms
subjects,fantasy_beings,gargoyle,Subject/Main focus of image,All platforms
subjects,animals_creatures,cat,Subject/Main focus of image,All platforms
subjects,animals_creatures,dog,Subject/Main focus of image,All platforms
subjects,animals_creatures,horse,Subject/Main focus of image,All platforms
subjects,animals_creatures,wolf,Subject/Main focus of image,All platforms
subjects,animals_creatures,lion,Subject/Main focus of image,All platforms
subjects,animals_creatures,tiger,Subject/Main focus of image,All platforms
subjects,animals_creatures,leopard,Subject/Main focus of image,All platforms
subjects,animals_creatures,cheetah,Subject/Main focus of image,All platforms
subjects,animals_creatures,bear,Subject/Main focus of image,All platforms
subjects,animals_creatures,panda,Subject/Main focus of image,All platforms
subjects,animals_creatures,koala,Subject/Main focus of image,All platforms
subjects,animals_creatures,sloth,Subject/Main focus of image,All platforms
subjects,animals_creatures,kangaroo,Subject/Main focus of image,All platforms
subjects,animals_creatures,wallaby,Subject/Main focus of image,All platforms
subjects,animals_creatures,platypus,Subject/Main focus of image,All platforms
subjects,animals_creatures,elephant,Subject/Main focus of image,All platforms
subjects,animals_creatures,rhinoceros,Subject/Main focus of image,All platforms
subjects,animals_creatures,hippopotamus,Subject/Main focus of image,All platforms
subjects,animals_creatures,giraffe,Subject/Main focus of image,All platforms
subjects,animals_creatures,zebra,Subject/Main focus of image,All platforms
subjects,animals_creatures,antelope,Subject/Main focus of image,All platforms
subjects,animals_creatures,deer,Subject/Main focus of image,All platforms
subjects,animals_creatures,elk,Subject/Main focus of image,All platforms
subjects,animals_creatures,moose,Subject/Main focus of image,All platforms
subjects,animals_creatures,caribou,Subject/Main focus of image,All platforms
subjects,animals_creatures,reindeer,Subject/Main focus of image,All platforms
subjects,animals_creatures,gazelle,Subject/Main focus of image,All platforms
subjects,animals_creatures,impala,Subject/Main focus of image,All platforms
subjects,animals_creatures,fox,Subject/Main focus of image,All platforms
subjects,animals_creatures,coyote,Subject/Main focus of image,All platforms
subjects,animals_creatures,jackal,Subject/Main focus of image,All platforms
subjects,animals_creatures,hyena,Subject/Main focus of image,All platforms
subjects,animals_creatures,mongoose,Subject/Main focus of image,All platforms
subjects,animals_creatures,meerkat,Subject/Main focus of image,All platforms
subjects,animals_creatures,ferret,Subject/Main focus of image,All platforms
subjects,animals_creatures,rabbit,Subject/Main focus of image,All platforms
subjects,animals_creatures,hare,Subject/Main focus of image,All platforms
subjects,animals_creatures,squirrel,Subject/Main focus of image,All platforms
subjects,animals_creatures,chipmunk,Subject/Main focus of image,All platforms
subjects,animals_creatures,hamster,Subject/Main focus of image,All platforms
subjects,animals_creatures,guinea pig,Subject/Main focus of image,All platforms
subjects,animals_creatures,rat,Subject/Main focus of image,All platforms
subjects,animals_creatures,mouse,Subject/Main focus of image,All platforms
subjects,animals_creatures,beaver,Subject/Main focus of image,All platforms
subjects,animals_creatures,otter,Subject/Main focus of image,All platforms
subjects,animals_creatures,seal,Subject/Main focus of image,All platforms
subjects,animals_creatures,walrus,Subject/Main focus of image,All platforms
subjects,animals_creatures,whale,Subject/Main focus of image,All platforms
subjects,animals_creatures,dolphin,Subject/Main focus of image,All platforms
subjects,animals_creatures,shark,Subject/Main focus of image,All platforms
subjects,animals_creatures,ray,Subject/Main focus of image,All platforms
subjects,animals_creatures,octopus,Subject/Main focus of image,All platforms
subjects,animals_creatures,squid,Subject/Main focus of image,All platforms
subjects,animals_creatures,jellyfish,Subject/Main focus of image,All platforms
subjects,animals_creatures,starfish,Subject/Main focus of image,All platforms
subjects,animals_creatures,crab,Subject/Main focus of image,All platforms
subjects,animals_creatures,lobster,Subject/Main focus of image,All platforms
subjects,animals_creatures,shrimp,Subject/Main focus of image,All platforms
subjects,animals_creatures,fish,Subject/Main focus of image,All platforms
subjects,animals_creatures,salmon,Subject/Main focus of image,All platforms
subjects,animals_creatures,trout,Subject/Main focus of image,All platforms
subjects,animals_creatures,bass,Subject/Main focus of image,All platforms
subjects,animals_creatures,tuna,Subject/Main focus of image,All platforms
subjects,animals_creatures,marlin,Subject/Main focus of image,All platforms
subjects,animals_creatures,eagle,Subject/Main focus of image,All platforms
subjects,animals_creatures,hawk,Subject/Main focus of image,All platforms
subjects,animals_creatures,falcon,Subject/Main focus of image,All platforms
subjects,animals_creatures,owl,Subject/Main focus of image,All platforms
subjects,animals_creatures,raven,Subject/Main focus of image,All platforms
subjects,animals_creatures,crow,Subject/Main focus of image,All platforms
subjects,animals_creatures,parrot,Subject/Main focus of image,All platforms
subjects,animals_creatures,peacock,Subject/Main focus of image,All platforms
subjects,animals_creatures,swan,Subject/Main focus of image,All platforms
subjects,animals_creatures,duck,Subject/Main focus of image,All platforms
subjects,animals_creatures,goose,Subject/Main focus of image,All platforms
subjects,animals_creatures,penguin,Subject/Main focus of image,All platforms
subjects,animals_creatures,flamingo,Subject/Main focus of image,All platforms
subjects,animals_creatures,heron,Subject/Main focus of image,All platforms
subjects,animals_creatures,crane,Subject/Main focus of image,All platforms
subjects,animals_creatures,stork,Subject/Main focus of image,All platforms
subjects,animals_creatures,robin,Subject/Main focus of image,All platforms
subjects,animals_creatures,sparrow,Subject/Main focus of image,All platforms
subjects,animals_creatures,finch,Subject/Main focus of image,All platforms
subjects,animals_creatures,canary,Subject/Main focus of image,All platforms
subjects,animals_creatures,hummingbird,Subject/Main focus of image,All platforms
subjects,animals_creatures,woodpecker,Subject/Main focus of image,All platforms
subjects,animals_creatures,butterfly,Subject/Main focus of image,All platforms
subjects,animals_creatures,moth,Subject/Main focus of image,All platforms
subjects,animals_creatures,bee,Subject/Main focus of image,All platforms
subjects,animals_creatures,wasp,Subject/Main focus of image,All platforms
subjects,animals_creatures,ant,Subject/Main focus of image,All platforms
subjects,animals_creatures,beetle,Subject/Main focus of image,All platforms
subjects,animals_creatures,dragonfly,Subject/Main focus of image,All platforms
subjects,animals_creatures,spider,Subject/Main focus of image,All platforms
subjects,animals_creatures,scorpion,Subject/Main focus of image,All platforms
subjects,animals_creatures,snake,Subject/Main focus of image,All platforms
subjects,animals_creatures,lizard,Subject/Main focus of image,All platforms
subjects,animals_creatures,turtle,Subject/Main focus of image,All platforms
subjects,animals_creatures,tortoise,Subject/Main focus of image,All platforms
subjects,animals_creatures,frog,Subject/Main focus of image,All platforms
subjects,animals_creatures,salamander,Subject/Main focus of image,All platforms
subjects,animals_creatures,chameleon,Subject/Main focus of image,All platforms
subjects,animals_creatures,iguana,Subject/Main focus of image,All platforms
subjects,animals_creatures,gecko,Subject/Main focus of image,All platforms
subjects,animals_creatures,crocodile,Subject/Main focus of image,All platforms
subjects,animals_creatures,alligator,Subject/Main focus of image,All platforms
subjects,animals_creatures,monkey,Subject/Main focus of image,All platforms
subjects,animals_creatures,ape,Subject/Main focus of image,All platforms
subjects,animals_creatures,gorilla,Subject/Main focus of image,All platforms
subjects,animals_creatures,chimpanzee,Subject/Main focus of image,All platforms
subjects,animals_creatures,orangutan,Subject/Main focus of image,All platforms
subjects,animals_creatures,baboon,Subject/Main focus of image,All platforms
subjects,animals_creatures,lemur,Subject/Main focus of image,All platforms
subjects,animals_creatures,llama,Subject/Main focus of image,All platforms
subjects,animals_creatures,alpaca,Subject/Main focus of image,All platforms
subjects,animals_creatures,camel,Subject/Main focus of image,All platforms
subjects,animals_creatures,yak,Subject/Main focus of image,All platforms
subjects,animals_creatures,buffalo,Subject/Main focus of image,All platforms
subjects,animals_creatures,bison,Subject/Main focus of image,All platforms
subjects,animals_creatures,ox,Subject/Main focus of image,All platforms
subjects,animals_creatures,badger,Subject/Main focus of image,All platforms
subjects,animals_creatures,raccoon,Subject/Main focus of image,All platforms
subjects,animals_creatures,opossum,Subject/Main focus of image,All platforms
subjects,animals_creatures,armadillo,Subject/Main focus of image,All platforms
subjects,animals_creatures,hedgehog,Subject/Main focus of image,All platforms
subjects,animals_creatures,porcupine,Subject/Main focus of image,All platforms
subjects,objects_technology,car,Subject/Main focus of image,All platforms
subjects,objects_technology,truck,Subject/Main focus of image,All platforms
subjects,objects_technology,motorcycle,Subject/Main focus of image,All platforms
subjects,objects_technology,bicycle,Subject/Main focus of image,All platforms
subjects,objects_technology,train,Subject/Main focus of image,All platforms
subjects,objects_technology,airplane,Subject/Main focus of image,All platforms
subjects,objects_technology,helicopter,Subject/Main focus of image,All platforms
subjects,objects_technology,boat,Subject/Main focus of image,All platforms
subjects,objects_technology,ship,Subject/Main focus of image,All platforms
subjects,objects_technology,submarine,Subject/Main focus of image,All platforms
subjects,objects_technology,rocket,Subject/Main focus of image,All platforms
subjects,objects_technology,spacecraft,Subject/Main focus of image,All platforms
subjects,objects_technology,satellite,Subject/Main focus of image,All platforms
subjects,objects_technology,computer,Subject/Main focus of image,All platforms
subjects,objects_technology,laptop,Subject/Main focus of image,All platforms
subjects,objects_technology,tablet,Subject/Main focus of image,All platforms
subjects,objects_technology,smartphone,Subject/Main focus of image,All platforms
subjects,objects_technology,camera,Subject/Main focus of image,All platforms
subjects,objects_technology,television,Subject/Main focus of image,All platforms
subjects,objects_technology,radio,Subject/Main focus of image,All platforms
subjects,objects_technology,speaker,Subject/Main focus of image,All platforms
subjects,objects_technology,headphones,Subject/Main focus of image,All platforms
subjects,objects_technology,microphone,Subject/Main focus of image,All platforms
subjects,objects_technology,keyboard,Subject/Main focus of image,All platforms
subjects,objects_technology,mouse,Subject/Main focus of image,All platforms
subjects,objects_technology,monitor,Subject/Main focus of image,All platforms
subjects,objects_technology,printer,Subject/Main focus of image,All platforms
subjects,objects_technology,scanner,Subject/Main focus of image,All platforms
subjects,objects_technology,projector,Subject/Main focus of image,All platforms
subjects,objects_technology,drone,Subject/Main focus of image,All platforms
subjects,objects_technology,robot,Subject/Main focus of image,All platforms
subjects,objects_technology,watch,Subject/Main focus of image,All platforms
subjects,objects_technology,clock,Subject/Main focus of image,All platforms
subjects,objects_technology,compass,Subject/Main focus of image,All platforms
subjects,objects_technology,telescope,Subject/Main focus of image,All platforms
subjects,objects_technology,microscope,Subject/Main focus of image,All platforms
subjects,objects_technology,binoculars,Subject/Main focus of image,All platforms
subjects,objects_technology,house,Subject/Main focus of image,All platforms
subjects,objects_technology,building,Subject/Main focus of image,All platforms
subjects,objects_technology,tower,Subject/Main focus of image,All platforms
subjects,objects_technology,castle,Subject/Main focus of image,All platforms
subjects,objects_technology,bridge,Subject/Main focus of image,All platforms
subjects,objects_technology,monument,Subject/Main focus of image,All platforms
subjects,objects_technology,statue,Subject/Main focus of image,All platforms
subjects,objects_technology,book,Subject/Main focus of image,All platforms
subjects,objects_technology,scroll,Subject/Main focus of image,All platforms
subjects,objects_technology,map,Subject/Main focus of image,All platforms
subjects,objects_technology,journal,Subject/Main focus of image,All platforms
subjects,objects_technology,pen,Subject/Main focus of image,All platforms
subjects,objects_technology,pencil,Subject/Main focus of image,All platforms
subjects,objects_technology,paintbrush,Subject/Main focus of image,All platforms
subjects,objects_technology,sword,Subject/Main focus of image,All platforms
subjects,objects_technology,dagger,Subject/Main focus of image,All platforms
subjects,objects_technology,bow,Subject/Main focus of image,All platforms
subjects,objects_technology,arrow,Subject/Main focus of image,All platforms
subjects,objects_technology,shield,Subject/Main focus of image,All platforms
subjects,objects_technology,armor,Subject/Main focus of image,All platforms
subjects,objects_technology,helmet,Subject/Main focus of image,All platforms
subjects,objects_technology,crown,Subject/Main focus of image,All platforms
subjects,objects_technology,ring,Subject/Main focus of image,All platforms
subjects,objects_technology,necklace,Subject/Main focus of image,All platforms
subjects,objects_technology,gem,Subject/Main focus of image,All platforms
subjects,objects_technology,crystal,Subject/Main focus of image,All platforms
subjects,objects_technology,gold,Subject/Main focus of image,All platforms
